,title,description,rating,genre,year,length,country
0,Голос,"Трогательная история о родственных душах и разговоре по душам, победившая на конкурсе короткометражных фильмов «Быстрый старт 2» и представленная на фестивале «Короче». Актриса озвучки возвращается с вечерней смены в студии, ей нужно успеть на метро. Женщина останавливается у круглосуточного кафе, когда к ней обращается случайным прохожий. Между незнакомцами завязывается разговор о голосах близких. Этим двоим начинает казаться: они знакомы много лет. И, кажется — это правда.",7.2,Мелодрама,2023,"11 мин.
                                                    ",Россия
1,Начало,"Девушка из провинциального русского городка мечтает стать актрисой, а пока самозабвенно играет Бабу Ягу в городском клубе. Вот там-то и находит ее режиссер, который намерен снять фильм о Жанне д'Арк. Сбывается мечта: ее приглашают на главную роль, и у нее начинается совсем другая жизнь, полная настоящих творческих мук и озарений.",7.2,Драма,1970,"87 мин.
                                                    ",СССР
2,Монолог,"К старому профессору Сретенскому с его устоявшейся жизнью и порой нелепыми, но дорогими сердцу привычками, приезжают его непутевая дочь и юная внучка. О любви и нетерпимости этих людей друг к другу, порождающих конфликты, об умении понимать и прощать…",7.2,Драма,1972,"95 мин.
                                                    ",СССР
3,Магия черная и белая,"Закадычные друзья, четверокласники Сева Кухтин, неутомимый выдумщик и заводила, и солидный, степенный Витя Елхов всем надоели своими проказами. Никто, казалось, не в силах был повлиять на них. Когда же в классе появилась новенькая, положение дел изменилось. На классном собрании Эльвира Сабоните заявила, что на ребят не действуют никакие уговоры и увещевания, потому что они ничем не интересуются и тратят свое свободное время не на увлечения, а на шалости. 

Девочка предложила не брать ребят в поход, пока они не займутся чем нибудь всерьез. Пришлось Севе и Вите искать себе дело по душе. Перепробовали они и кактусы, и музыку, и филателию, проштудировали старинное руководство «Черная и белая магия» для фокусников. Наконец одноклассникам стало ясно, что главный интерес у ребят - их дружба.",7.2,Комедии,1983,"76 мин.
                                                    ",СССР
4,Зимнее утро,"Действие фильма происходит в блокадном Ленинграде. Девочка Катя спасает во время бомбежки незнакомого маленького мальчика, называет его Сережей, и в дальнейшем заботится о нем. Однажды детей навещает капитан Воронов, разыскивающий свою семью. Он узнает сына Митю и удочеряет Катю...",7.2,Драма,1966,"83 мин.
                                                    ",СССР
5,"Женя, Женечка и ""Катюша""","Солдат Женя Колышкин - хрупкий интеллигент с Арбата - сплошное недоразумение в военных буднях. Отправившись в предновогоднюю ночь за посылкой, он натыкается на немецкий блиндаж. Ему удается спастись, но гауптвахта неизбежна.

Незавидную участь Жени скрашивает Женечка - связистка полка катюш. Пройдет время и они встретятся в громадном пустом доме в освобожденном городе, где сыграют в прятки… Одна из самых нежных картин о войне.",7.2,Мелодрама,1967,"80 мин.
                                                    ",СССР
6,Весенние перевертыши,"Тринадцатилетний Дюшка живет в леспромхозе. Однажды юный герой заметил необыкновенное сходство соседки Римки с Натальей Гончаровой - и сразу наступила весна, потекли ручьи, небо очистилось от беспросветных туч, люди стали добрее.

Только хулиган Санька с тусклыми болотными глазами по-прежнему делал всякие пакости. И Дюшка решил просветить взрослых о существующем зле.",7.2,Драма,1974,"85 мин.
                                                    ",СССР
7,"Старая, старая сказка","Главный герой фильма — сказочник, живущий в бедном и сером мире. Он сочиняет сказку, в которой сам в образе храброго солдата находит огниво и ему помогает добрый волшебник.

Солдат полюбил избалованную, капризную принцессу, загадывающую, как и полагается принцессе, загадки многочисленным женихам. Ее отец, король, очень хочет видеть мужем солдата, так как думает, что у того очень много золота.

В сказке все кончается очень хорошо, а вот в жизни у сказочника все складывается плохо.",7.2,Фэнтези,1968,"90 мин.
                                                    ",СССР
8,Свадьба в Малиновке,"Идёт гражданская война. В украинской деревне то и дело меняется власть. Чтобы разделаться с бандой головорезов, красный командир уговаривает девушку Яринку разыграть её свадьбу с атаманом...",7.2,Комедии,1967,"95 мин.
                                                    ",СССР
9,Пацаны,"Хотя бы один взрослый, которого можно называть на «ты», должен быть в жизни каждого пацана... Актеры экстракласса - Валерий Приемыхов и тринадцатилетний Андрей Зыков - и ведущая тема фильмов Динары Асановой: непонимание, бесправие и одиночество подростка, против которого - весь мир взрослых.",7.2,Драма,1983,"97 мин.
                                                    ",СССР
